dateHour,networkDomain,visitors,visits,bounces,timeOnSite,Date,Hour,Domain
2014011911,,482,1,0.88,56,2014-01-19,11,Actual
2014011912,,497,1,0.87,64,2014-01-19,12,Actual
2014011913,,486,1,0.9,49,2014-01-19,13,Actual
2014011914,,524,1,0.95,24,2014-01-19,14,Actual
2014011915,,492,1,1,0,2014-01-19,15,Actual
2014011916,,579,1,0.96,21,2014-01-19,16,Actual
2014011917,,636,1,0.97,15,2014-01-19,17,Actual
2014011918,,612,1,1,1,2014-01-19,18,Actual
2014011919,,615,1,0.99,5,2014-01-19,19,Actual
2014011920,,612,1,0.99,9,2014-01-19,20,Actual
2014011921,,497,1,1,1,2014-01-19,21,Actual
2014011922,,445,1,0.99,3,2014-01-19,22,Actual
2014011923,,300,1,1,0,2014-01-19,23,Actual
2014012000,,201,1,1,0,2014-01-20,00,Actual
2014012001,,114,1,1,0,2014-01-20,01,Actual
2014012002,,62,1,0.95,3,2014-01-20,02,Actual
2014012003,,40,1,0.98,1,2014-01-20,03,Actual
2014012004,,31,1,1,0,2014-01-20,04,Actual
2014012005,,28,1,0.93,2,2014-01-20,05,Actual
2014012006,,25,1,1,0,2014-01-20,06,Actual
2014012007,,76,1,1,0,2014-01-20,07,Actual
2014012008,,191,1,1,0,2014-01-20,08,Actual
2014012009,,355,1,0.97,10,2014-01-20,09,Actual
2014012010,,428,1,0.9,42,2014-01-20,10,Actual
2014012011,,543,1,0.97,16,2014-01-20,11,Actual
2014012012,,465,1,1,0,2014-01-20,12,Actual
2014012013,,505,1,0.95,24,2014-01-20,13,Actual
2014012014,,540,1,0.98,9,2014-01-20,14,Actual
2014012015,,609,1,0.97,18,2014-01-20,15,Actual
2014012016,,638,1,0.98,9,2014-01-20,16,Actual
2014012017,,798,1,0.91,72,2014-01-20,17,Actual
2014012018,,636,1,1,0,2014-01-20,18,Actual
2014012019,,648,1,0.99,9,2014-01-20,19,Actual
2014012020,,629,1,0.99,7,2014-01-20,20,Actual
2014012021,,570,1,1,2,2014-01-20,21,Actual
2014012022,,502,1,1,0,2014-01-20,22,Actual
2014012023,,353,1,1,0,2014-01-20,23,Actual
2014012100,,214,1,1,0,2014-01-21,00,Actual
2014012101,,133,1,1,0,2014-01-21,01,Actual
2014012102,,77,1,1,0,2014-01-21,02,Actual
2014012103,,38,1,1,0,2014-01-21,03,Actual
2014012104,,27,1,1,0,2014-01-21,04,Actual
2014012105,,21,1,0.86,3,2014-01-21,05,Actual
2014012106,,33,1,0.97,1,2014-01-21,06,Actual
2014012107,,79,1,0.99,0,2014-01-21,07,Actual
2014012108,,189,1,1,0,2014-01-21,08,Actual
2014012109,,345,1,0.97,10,2014-01-21,09,Actual
2014012110,,497,1,0.92,38,2014-01-21,10,Actual
